,totals
912,5961708
913,394761965
914,4428194678
915,4822956643
916,1344941817
917,5720239179
918,7065180996
919,202863608
920,907573553
921,1110437161
922,92915692
923,303510729
924,396426421
925,967397937
926,53
927,2235897
928,5961708
929,394761965
930,4428194678
931,4822956643
932,1344941817
933,5720239179
934,7065180996
935,202863608
936,907573553
937,1110437161
938,92915692
939,303510729
940,396426421
941,967397937
942,53
943,2235897
944,5961708
945,394761965
946,4428194678
947,4822956643
948,1344941817
949,5720239179
950,7065180996
951,202863608
952,907573553
953,1110437161
954,92915692
955,303510729
956,396426421
957,967397937
958,53
959,2235897
960,5961708
961,394761965
962,4428194678
963,4822956643
964,1344941817
965,5720239179
966,7065180996
967,202863608
968,907573553
969,1110437161
970,92915692
971,303510729
972,396426421
973,967397937
974,53
975,2235897
976,5961708
977,394761965
978,4428194678
979,4822956643
980,1344941817
981,5720239179
982,7065180996
983,202863608
984,907573553
985,1110437161
986,92915692
987,303510729
988,396426421
989,967397937
990,53
991,2235897
992,5961708
993,394761965
994,4428194678
995,4822956643
996,1344941817
997,5720239179
998,7065180996
999,202863608
1000,907573553
1001,1110437161
1002,92915692
1003,303510729
1004,396426421
1005,967397937
1006,53
1007,2235897
1008,5961708
1009,394761965
1010,4428194678
1011,4822956643
1012,1344941817
1013,5720239179
1014,7065180996
1015,202863608
1016,907573553
1017,1110437161
1018,92915692
1019,303510729
1020,396426421
1021,967397937
1022,53
1023,2235897
1024,5961708
1025,394761965
1026,4428194678
1027,4822956643
1028,1344941817
1029,5720239179
1030,7065180996
1031,202863608
1032,907573553
1033,1110437161
1034,92915692
1035,303510729
1036,396426421
1037,967397937
1038,53
1039,2235897
1040,5961708
1041,394761965
1042,4428194678
1043,4822956643
1044,1344941817
1045,5720239179
1046,7065180996
1047,202863608
1048,907573553
1049,1110437161
1050,92915692
1051,303510729
1052,396426421
1053,967397937
1054,53
1055,2235897
1056,5961708
1057,394761965
1058,4428194678
1059,4822956643
1060,1344941817
1061,5720239179
1062,7065180996
1063,202863608
1064,907573553
1065,1110437161
1066,92915692
1067,303510729
1068,396426421
1069,967397937
1070,53
1071,2235897
1072,5961708
1073,394761965
1074,4428194678
1075,4822956643
1076,1344941817
1077,5720239179
1078,7065180996
1079,202863608
1080,907573553
1081,1110437161
1082,92915692
1083,303510729
1084,396426421
1085,967397937
1086,53
1087,2235897
1088,5961708
1089,394761965
1090,4428194678
1091,4822956643
1092,1344941817
1093,5720239179
1094,7065180996
1095,202863608
1096,907573553
1097,1110437161
1098,92915692
1099,303510729
1100,396426421
1101,967397937
1102,53
1103,2235897
1104,5961708
1105,394761965
1106,4428194678
1107,4822956643
1108,1344941817
1109,5720239179
1110,7065180996
1111,202863608
1112,907573553
1113,1110437161
1114,92915692
1115,303510729
1116,396426421
1117,967397937
1118,53
1119,2235897
1120,5961708
1121,394761965
1122,4428194678
1123,4822956643
1124,1344941817
1125,5720239179
1126,7065180996
1127,202863608
1128,907573553
1129,1110437161
1130,92915692
1131,303510729
1132,396426421
1133,967397937
1134,53
1135,2235897
1136,5961708
1137,394761965
1138,4428194678
1139,4822956643
1140,1344941817
1141,5720239179
1142,7065180996
1143,202863608
1144,907573553
1145,1110437161
1146,92915692
1147,303510729
1148,396426421
1149,967397937
1150,53
1151,2235897
1152,5961708
1153,394761965
1154,4428194678
1155,4822956643
1156,1344941817
1157,5720239179
1158,7065180996
1159,202863608
1160,907573553
1161,1110437161
1162,92915692
1163,303510729
1164,396426421
1165,967397937
1166,53
1167,2235897
1168,5961708
1169,394761965
1170,4428194678
1171,4822956643
